ClutserID	Streptococcus_pneumoniae_CGSP14	Streptococcus_pneumoniae_G54	Streptococcus_pneumoniae_R6	Streptococcus_pneumoniae_Hungary19A-6	Streptococcus_pneumoniae_P1031	Streptococcus_pneumoniae_TCH8431-19A
451	ACB89691.1	ACF54907.1	AAK99205.1	ACA36195.1	ACO20386.1	ADI68965.1
452	ACB91393.1	ACF55922.1	AAL00781.1	ACA37004.1	ACO20852.1	ADI68405.1
453	ACB89556.1	ACF55748.1	AAK99072.1	ACA35791.1	ACO21099.1	ADI68835.1
454	ACB90391.1	ACF56762.1	AAK99849.1	ACA36162.1	ACO21258.1	ADI69566.1
455	ACB91311.1	ACF55494.1	AAL00706.1	ACA36825.1	ACO21457.1	ADI68318.1
456	ACB90689.1	ACF55755.1	AAL00108.1	ACA36213.1	ACO20948.1	ADI69322.1
457	ACB89920.1	ACF55803.1	AAK99435.1	ACA37257.1	ACO22218.1	ADI69231.1
458	ACB89953.1	ACF55527.1	AAK99465.1	ACA35874.1	ACO20565.1	ADI69262.1
459	ACB89724.1	ACF56139.1	AAK99241.1	ACA35989.1	ACO21779.1	ADI69017.1
460	ACB89525.1	ACF56561.1	AAK99046.1	ACA35817.1	ACO22132.1	ADI68807.1
461	ACB91130.1	ACF55570.1	AAL00522.1	ACA36908.1	ACO20192.1	ADI70362.1
462	ACB91301.1	ACF56749.1	AAL00696.1	ACA37385.1	ACO20697.1	ADI68308.1
463	ACB91372.1	ACF54857.1	AAL00760.1	ACA37036.1	ACO20209.1	ADI68380.1
464	ACB89869.1	ACF55534.1	AAK99382.1	ACA35578.1	ACO20872.1	ADI69181.1
465	ACB89560.1	ACF55763.1	AAK99075.1	ACA36411.1	ACO20687.1	ADI68838.1
466	ACB90327.1	ACF56101.1	AAK99910.1	ACA36109.1	ACO20850.1	ADI69503.1
467	ACB91084.1	ACF55226.1	AAL00476.1	ACA35601.1	ACO21595.1	ADI70309.1
468	ACB90733.1	ACF55387.1	AAL00155.1	ACA36476.1	ACO21184.1	ADI69960.1
469	ACB89937.1	ACF55492.1	AAK99451.1	ACA36610.1	ACO20449.1	ADI69248.1
470	ACB91178.1	ACF55055.1	AAL00580.1	ACA36291.1	ACO21876.1	ADI70458.1
471	ACB90899.1	ACF55552.1	AAL00323.1	ACA36581.1	ACO20745.1	ADI70145.1
472	ACB90426.1	ACF56038.1	AAK99818.1	ACA35722.1	ACO21652.1	ADI69603.1
473	ACB90772.1	ACF55314.1	AAL00193.1	ACA35782.1	ACO21671.1	ADI69996.1
474	ACB89802.1	ACF56314.1	AAK99317.1	ACA37365.1	ACO21908.1	ADI69105.1
475	ACB90191.1	ACF55142.1	AAK99669.1	ACA36489.1	ACO21888.1	ADI69753.1
476	ACB90200.1	ACF55376.1	AAK99679.1	ACA36021.1	ACO20365.1	ADI69744.1
477	ACB90483.1	ACF56224.1	AAK99948.1	ACA36340.1	ACO22139.1	ADI69462.1
478	ACB89333.1	ACF55468.1	AAK98880.1	ACA37205.1	ACO21009.1	ADI68597.1
479	ACB91113.1	ACF56598.1	AAL00506.1	ACA37314.1	ACO20169.1	ADI70344.1
480	ACB90787.1	ACF55045.1	AAL00211.1	ACA35639.1	ACO21552.1	ADI70014.1
481	ACB91007.1	ACF55679.1	AAL00406.1	ACA36997.1	ACO21185.1	ADI70230.1
482	ACB90235.1	ACF55635.1	AAK99716.1	ACA35777.1	ACO21342.1	ADI69704.1
483	ACB90718.1	ACF56712.1	AAL00136.1	ACA37495.1	ACO20569.1	ADI69294.1
484	ACB89895.1	ACF55831.1	AAK99407.1	ACA36235.1	ACO21455.1	ADI69206.1
485	ACB91421.1	ACF54963.1	AAL00809.1	ACA37110.1	ACO21860.1	ADI68443.1
486	ACB89366.1	ACF55924.1	AAK98917.1	ACA36166.1	ACO21442.1	ADI68640.1
487	ACB91083.1	ACF56331.1	AAL00475.1	ACA37467.1	ACO20376.1	ADI70308.1
488	ACB89811.1	ACF56393.1	AAK99326.1	ACA36189.1	ACO20499.1	ADI69115.1
489	ACB90795.1	ACF55390.1	AAL00219.1	ACA36297.1	ACO20737.1	ADI70022.1
490	ACB89677.1	ACF56282.1	AAK99191.1	ACA37463.1	ACO21155.1	ADI68946.1
491	ACB91454.1	ACF56316.1	AAL00844.1	ACA37195.1	ACO21151.1	ADI68478.1
492	ACB90359.1	ACF55610.1	AAK99877.1	ACA36637.1	ACO21125.1	ADI69537.1
493	ACB89816.1	ACF55785.1	AAK99332.1	ACA36788.1	ACO21692.1	ADI69120.1
494	ACB89918.1	ACF54849.1	AAK99433.1	ACA36964.1	ACO20231.1	ADI69229.1
495	ACB90842.1	ACF55783.1	AAL00265.1	ACA35970.1	ACO22212.1	ADI70073.1
496	ACB90230.1	ACF56318.1	AAK99712.1	ACA37646.1	ACO20201.1	ADI69708.1
497	ACB91223.1	ACF55401.1	AAL00621.1	ACA37503.1	ACO21340.1	ADI70502.1
498	ACB89667.1	ACF56437.1	AAK99181.1	ACA36928.1	ACO20732.1	ADI68936.1
499	ACB90823.1	ACF56671.1	AAL00247.1	ACA37520.1	ACO20588.1	ADI70052.1
500	ACB89991.1	ACF56582.1	AAK99502.1	ACA36768.1	ACO20998.1	ADI69930.1
501	ACB91273.1	ACF55572.1	AAL00667.1	ACA36602.1	ACO22042.1	ADI68278.1
502	ACB90754.1	ACF55442.1	AAL00173.1	ACA37280.1	ACO20152.1	ADI69979.1
503	ACB91049.1	ACF56513.1	AAL00436.1	ACA37622.1	ACO22151.1	ADI70268.1
504	ACB91077.1	ACF56144.1	AAL00469.1	ACA37298.1	ACO21039.1	ADI70302.1
505	ACB90789.1	ACF56623.1	AAL00213.1	ACA37092.1	ACO20610.1	ADI70016.1
506	ACB90094.1	ACF55941.1	AAK99596.1	ACA36766.1	ACO20521.1	ADI69827.1
507	ACB89493.1	ACF55768.1	AAK99017.1	ACA36232.1	ACO21226.1	ADI68773.1
508	ACB91053.1	ACF56463.1	AAL00440.1	ACA35888.1	ACO21868.1	ADI70272.1
509	ACB90513.1	ACF56119.1	AAK99975.1	ACA36867.1	ACO20170.1	ADI69434.1
510	ACB91347.1	ACF56617.1	AAL00737.1	ACA35823.1	ACO21015.1	ADI68356.1
511	ACB90889.1	ACF56083.1	AAL00313.1	ACA36460.1	ACO21325.1	ADI70135.1
512	ACB89595.1	ACF56338.1	AAK99112.1	ACA36718.1	ACO20637.1	ADI68870.1
513	ACB91407.1	ACF55593.1	AAL00794.1	ACA37516.1	ACO20166.1	ADI68421.1
514	ACB89459.1	ACF55883.1	AAK98981.1	ACA36267.1	ACO20419.1	ADI68737.1
515	ACB89377.1	ACF56752.1	AAK98930.1	ACA37173.1	ACO21935.1	ADI68659.1
516	ACB89721.1	ACF55355.1	AAK99238.1	ACA37378.1	ACO20729.1	ADI69014.1
517	ACB89692.1	ACF55057.1	AAK99206.1	ACA37555.1	ACO20836.1	ADI68966.1
518	ACB89704.1	ACF55432.1	AAK99217.1	ACA37015.1	ACO21479.1	ADI68979.1
519	ACB91259.1	ACF56295.1	AAL00655.1	ACA36066.1	ACO21495.1	ADI68265.1
520	ACB91428.1	ACF55450.1	AAL00816.1	ACA35711.1	ACO21500.1	ADI68451.1
521	ACB90852.1	ACF55071.1	AAL00270.1	ACA36822.1	ACO20495.1	ADI70091.1
522	ACB90428.1	ACF55396.1	AAK99816.1	ACA36328.1	ACO22006.1	ADI69605.1
523	ACB90411.1	ACF56770.1	AAK99833.1	ACA36303.1	ACO21746.1	ADI69587.1
524	ACB91335.1	ACF55707.1	AAL00729.1	ACA37633.1	ACO20710.1	ADI68345.1
525	ACB90227.1	ACF56855.1	AAK99709.1	ACA36644.1	ACO21408.1	ADI69711.1
526	ACB89514.1	ACF56593.1	AAK99036.1	ACA36220.1	ACO21250.1	ADI68795.1
527	ACB90786.1	ACF55656.1	AAL00210.1	ACA36246.1	ACO21556.1	ADI70013.1
528	ACB89624.1	ACF54888.1	AAK99140.1	ACA35890.1	ACO22109.1	ADI68901.1
529	ACB90433.1	ACF55804.1	AAK99809.1	ACA36304.1	ACO21856.1	ADI69613.1
530	ACB91097.1	ACF56569.1	AAL00490.1	ACA35654.1	ACO20913.1	ADI70324.1
531	ACB89921.1	ACF55198.1	AAK99436.1	ACA35550.1	ACO21791.1	ADI69232.1
532	ACB89440.1	ACF56135.1	AAK98964.1	ACA36884.1	ACO21959.1	ADI68702.1
533	ACB91096.1	ACF54895.1	AAL00489.1	ACA36269.1	ACO20443.1	ADI70323.1
534	ACB89742.1	ACF55265.1	AAK99259.1	ACA35607.1	ACO21214.1	ADI69038.1
535	ACB90086.1	ACF56277.1	AAK99593.1	ACA36171.1	ACO21070.1	ADI69835.1
536	ACB90971.1	ACF55050.1	AAL00393.1	ACA36079.1	ACO21895.1	ADI70216.1
537	ACB90885.1	ACF55278.1	AAL00309.1	ACA37363.1	ACO21886.1	ADI70131.1
538	ACB89924.1	ACF56643.1	AAK99439.1	ACA35985.1	ACO21044.1	ADI69235.1
539	ACB90941.1	ACF56829.1	AAL00365.1	ACA36755.1	ACO20741.1	ADI70187.1
540	ACB89956.1	ACF56359.1	AAK99468.1	ACA36244.1	ACO20573.1	ADI69265.1
541	ACB90312.1	ACF55989.1	AAK99925.1	ACA36925.1	ACO21242.1	ADI69486.1
542	ACB89511.1	ACF55820.1	AAK99033.1	ACA36110.1	ACO21331.1	ADI68792.1
543	ACB90790.1	ACF56835.1	AAL00214.1	ACA36355.1	ACO21862.1	ADI70017.1
544	ACB90612.1	ACF55206.1	AAL00032.1	ACA35880.1	ACO21963.1	ADI69406.1
545	ACB89980.1	ACF56094.1	AAK99492.1	ACA36934.1	ACO20324.1	ADI69942.1
546	ACB89813.1	ACF54955.1	AAK99329.1	ACA35836.1	ACO20259.1	ADI69118.1
547	ACB89841.1	ACF55972.1	AAK99357.1	ACA36258.1	ACO21216.1	ADI69146.1
548	ACB90833.1	ACF56730.1	AAL00258.1	ACA36657.1	ACO20876.1	ADI70065.1
549	ACB89301.1	ACF56494.1	AAK98852.1	ACA36868.1	ACO21666.1	ADI68564.1
550	ACB91276.1	ACF54777.1	AAL00670.1	ACA36343.1	ACO21272.1	ADI68281.1
551	ACB90421.1	ACF56483.1	AAK99823.1	ACA37630.1	ACO21446.1	ADI69597.1
552	ACB90373.1	ACF56151.1	AAK99866.1	ACA36478.1	ACO20520.1	ADI69549.1
553	ACB90759.1	ACF55905.1	AAL00178.1	ACA35540.1	ACO20200.1	ADI69984.1
554	ACB91348.1	ACF54830.1	AAL00738.1	ACA36633.1	ACO20501.1	ADI68357.1
555	ACB91246.1	ACF54887.1	AAL00643.1	ACA36567.1	ACO21617.1	ADI68252.1
556	ACB91324.1	ACF56336.1	AAL00720.1	ACA37362.1	ACO21951.1	ADI68334.1
557	ACB89749.1	ACF55842.1	AAK99266.1	ACA37447.1	ACO20351.1	ADI69047.1
558	ACB90898.1	ACF54890.1	AAL00322.1	ACA37200.1	ACO20211.1	ADI70144.1
559	ACB90217.1	ACF55228.1	AAK99698.1	ACA37096.1	ACO20153.1	ADI69725.1
560	ACB89552.1	ACF55465.1	AAK99068.1	ACA36914.1	ACO20963.1	ADI68831.1
561	ACB89772.1	ACF56049.1	AAK99286.1	ACA35664.1	ACO21478.1	ADI69077.1
562	ACB90601.1	ACF56078.1	AAL00022.1	ACA37067.1	ACO21187.1	ADI69417.1
563	ACB89594.1	ACF55903.1	AAK99111.1	ACA36909.1	ACO21316.1	ADI68869.1
564	ACB89960.1	ACF56694.1	AAK99472.1	ACA37056.1	ACO20893.1	ADI69269.1
565	ACB89383.1	ACF55835.1	AAK98934.1	ACA36038.1	ACO21816.1	ADI68664.1
566	ACB90487.1	ACF54889.1	AAK99952.1	ACA36207.1	ACO20908.1	ADI69458.1
567	ACB89298.1	ACF56499.1	AAK98849.1	ACA37010.1	ACO21168.1	ADI68561.1
568	ACB90486.1	ACF56026.1	AAK99951.1	ACA36837.1	ACO20343.1	ADI69459.1
569	ACB91422.1	ACF55308.1	AAL00810.1	ACA35720.1	ACO22092.1	ADI68444.1
570	ACB90137.1	ACF56708.1	AAK99612.1	ACA36818.1	ACO21839.1	ADI69809.1
571	ACB89549.1	ACF56099.1	AAK99066.1	ACA37367.1	ACO22183.1	ADI68828.1
572	ACB89946.1	ACF56365.1	AAK99458.1	ACA37585.1	ACO21179.1	ADI69256.1
573	ACB90187.1	ACF55383.1	AAK99665.1	ACA35738.1	ACO20730.1	ADI69757.1
574	ACB91240.1	ACF56174.1	AAL00637.1	ACA35530.1	ACO21824.1	ADI68245.1
575	ACB91371.1	ACF56541.1	AAL00759.1	ACA37384.1	ACO20399.1	ADI68379.1
576	ACB90147.1	ACF54984.1	AAK99623.1	ACA35821.1	ACO22068.1	ADI69795.1
577	ACB90958.1	ACF55978.1	AAL00381.1	ACA37603.1	ACO21469.1	ADI70205.1
578	ACB89685.1	ACF56317.1	AAK99200.1	ACA36729.1	ACO22146.1	ADI68960.1
579	ACB91149.1	ACF56220.1	AAL00541.1	ACA35551.1	ACO21119.1	ADI70385.1
580	ACB90463.1	ACF56834.1	AAK99779.1	ACA36943.1	ACO21503.1	ADI69645.1
581	ACB89890.1	ACF56125.1	AAK99402.1	ACA35623.1	ACO20304.1	ADI69201.1
582	ACB89543.1	ACF56413.1	AAK99060.1	ACA35884.1	ACO20905.1	ADI68823.1
583	ACB89679.1	ACF54894.1	AAK99194.1	ACA36012.1	ACO21502.1	ADI68952.1
584	ACB89449.1	ACF55926.1	AAK98972.1	ACA36216.1	ACO21940.1	ADI68710.1
585	ACB90003.1	ACF55303.1	AAK99515.1	ACA36389.1	ACO20566.1	ADI69918.1
586	ACB89451.1	ACF55393.1	AAK98973.1	ACA37177.1	ACO21280.1	ADI68711.1
587	ACB90807.1	ACF56578.1	AAL00232.1	ACA36623.1	ACO21439.1	ADI70034.1
588	ACB90877.1	ACF55359.1	AAL00300.1	ACA37582.1	ACO20434.1	ADI70123.1
589	ACB90011.1	ACF55322.1	AAK99524.1	ACA35733.1	ACO20975.1	ADI69905.1
590	ACB90918.1	ACF54969.1	AAL00341.1	ACA36709.1	ACO21894.1	ADI70164.1
591	ACB91009.1	ACF55049.1	AAL00408.1	ACA36842.1	ACO21737.1	ADI70234.1
592	ACB89350.1	ACF56866.1	AAK98896.1	ACA36516.1	ACO20337.1	ADI68620.1
593	ACB89740.1	ACF55413.1	AAK99257.1	ACA37580.1	ACO21229.1	ADI69036.1
594	ACB90000.1	ACF56115.1	AAK99512.1	ACA36974.1	ACO21103.1	ADI69921.1
595	ACB89345.1	ACF55979.1	AAK98891.1	ACA37481.1	ACO21817.1	ADI68615.1
596	ACB90256.1	ACF55976.1	AAK99734.1	ACA36210.1	ACO21167.1	ADI69680.1
597	ACB90875.1	ACF56825.1	AAL00298.1	ACA37031.1	ACO21614.1	ADI70121.1
598	ACB91119.1	ACF56357.1	AAL00512.1	ACA36341.1	ACO20167.1	ADI70351.1
599	ACB90571.1,ACB89411.1	ACF56329.1	-	ACA37134.1	ACO20990.1	ADI70419.1
600	ACB90760.1	ACF55960.1	AAL00179.1	ACA36076.1	ACO22079.1	ADI69985.1
601	ACB90047.1	ACF55952.1	AAK99559.1	ACA35498.1	ACO20669.1	ADI69868.1
602	ACB90878.1	ACF56256.1	AAL00301.1	ACA35892.1	ACO20242.1	ADI70124.1
603	ACB90739.1	ACF56830.1	AAL00159.1	ACA35612.1	ACO22045.1	ADI69964.1
604	ACB91139.1	ACF56819.1	AAL00531.1	ACA37339.1	ACO21098.1	ADI70375.1
605	ACB89681.1	ACF56214.1	AAK99196.1	ACA37149.1	ACO20255.1	ADI68954.1
606	ACB90349.1	ACF55949.1	AAK99888.1	ACA36787.1	ACO21223.1	ADI69524.1
607	ACB90832.1	ACF55563.1	AAL00257.1	ACA35998.1	ACO20841.1	ADI70063.1
608	ACB89970.1	ACF55735.1	AAK99481.1	ACA36479.1	ACO21579.1	ADI69279.1
609	ACB89271.1	ACF56085.1	AAK98825.1	ACA35650.1	ACO21906.1	ADI68536.1
610	ACB90649.1	ACF55673.1	AAL00070.1	ACA35900.1	ACO21741.1	ADI69366.1
611	ACB90501.1	ACF56158.1	AAK99968.1	ACA36826.1	ACO21633.1	ADI69442.1
612	ACB90970.1	ACF56072.1	AAL00392.1	ACA35635.1	ACO20507.1	ADI70215.1
613	ACB90032.1	ACF55836.1	AAK99544.1	ACA36315.1	ACO20919.1	ADI69883.1
614	ACB90035.1	ACF56667.1	AAK99547.1	ACA36030.1	ACO20197.1	ADI69879.1
615	ACB90326.1	ACF55665.1	AAK99911.1	ACA35861.1	ACO20421.1	ADI69502.1
616	ACB90196.1	ACF55697.1	AAK99674.1	ACA36586.1	ACO21292.1	ADI69748.1
617	ACB89467.1	ACF56875.1	AAK98989.1	ACA36056.1	ACO21247.1	ADI68746.1
618	ACB90173.1	ACF56370.1	AAK99652.1	ACA36571.1	ACO21929.1	ADI69771.1
619	ACB89434.1	ACF54803.1	AAK98955.1	ACA35834.1	ACO21600.1	ADI68692.1
620	ACB90773.1	ACF56355.1	AAL00194.1	ACA36386.1	ACO22193.1	ADI69997.1
621	ACB90449.1	ACF55249.1	AAK99793.1	ACA37082.1	ACO20535.1	ADI69629.1
622	ACB89835.1	ACF54985.1	AAK99350.1	ACA36072.1	ACO20544.1	ADI69140.1
623	ACB89458.1	ACF56457.1	AAK98980.1	ACA37572.1	ACO21158.1	ADI68736.1
624	ACB91368.1	ACF55062.1	AAL00755.1	ACA36250.1	ACO22046.1	ADI68375.1
625	ACB91121.1	ACF54853.1	AAL00513.1	ACA35829.1	ACO20855.1	ADI70353.1
626	ACB89653.1	ACF55954.1	AAK99168.1	ACA37026.1	ACO22117.1	ADI68922.1
627	ACB90639.1	ACF55550.1	AAL00059.1	ACA36081.1	ACO21468.1	ADI69377.1
628	ACB91110.1	ACF55289.1	AAL00503.1	ACA36261.1	ACO20701.1	ADI70338.1
629	ACB89913.1	ACF56822.1	AAK99429.1	ACA36548.1	ACO21656.1	ADI69224.1
630	ACB91065.1	ACF54944.1	AAL00458.1	ACA37595.1	ACO20396.1	ADI70287.1
631	ACB89475.1	ACF56280.1	AAK98998.1	ACA36008.1	ACO20878.1	ADI68754.1
632	ACB89877.1	ACF54848.1	AAK99389.1	ACA36839.1	ACO22050.1	ADI69189.1
633	ACB90493.1	ACF55584.1	AAK99958.1	ACA36816.1	ACO20232.1	ADI69452.1
634	ACB90054.1	ACF55871.1	AAK99564.1	ACA37640.1	ACO20526.1	ADI69861.1
635	ACB91100.1	ACF56657.1	AAL00493.1	ACA37045.1	ACO20208.1	ADI70328.1
636	ACB89512.1	ACF56592.1	AAK99034.1	ACA36841.1	ACO21117.1	ADI68793.1
637	ACB89675.1	ACF55874.1	AAK99189.1	ACA37381.1	ACO21889.1	ADI68944.1
638	ACB91220.1	ACF55047.1	AAL00619.1	ACA36106.1	ACO21778.1	ADI70499.1
639	ACB89931.1	ACF55639.1	AAK99446.1	ACA35648.1	ACO21470.1	ADI69242.1
640	ACB89927.1	ACF54822.1	AAK99442.1	ACA37250.1	ACO22056.1	ADI69238.1
641	ACB89810.1	ACF54966.1	AAK99325.1	ACA35713.1	ACO20985.1	ADI69114.1
642	ACB90969.1	ACF56258.1	AAL00391.1	ACA37212.1	ACO21180.1	ADI70214.1
643	ACB90408.1	ACF56202.1	AAK99836.1	ACA37169.1	ACO21805.1	ADI69584.1
644	ACB89582.1	ACF55385.1	AAK99098.1	ACA37172.1	ACO21145.1	ADI68855.1
645	ACB89771.1	ACF56844.1	AAK99285.1	ACA37465.1	ACO20362.1	ADI69076.1
646	ACB90608.1	ACF56279.1	AAL00029.1	ACA36931.1	ACO21011.1	ADI69410.1
647	ACB89751.1	ACF56847.1	AAK99268.1	ACA36603.1	ACO21285.1	ADI69049.1
648	ACB90805.1	ACF55361.1	AAL00230.1	ACA35721.1	ACO21536.1	ADI70032.1
649	ACB89463.1	ACF56587.1	AAK98986.1	ACA36557.1	ACO20493.1	ADI68742.1
650	ACB90627.1	ACF55765.1	AAL00048.1	ACA37538.1	ACO20989.1	ADI69388.1
651	ACB89909.1	ACF56107.1	AAK99423.1	ACA37259.1	ACO21693.1	ADI69215.1
652	ACB90063.1	ACF55626.1	AAK99574.1	ACA37569.1	ACO20692.1	ADI69854.1
653	ACB89745.1	ACF55464.1	AAK99262.1	ACA36592.1	ACO21372.1	ADI69043.1
654	ACB89729.1	ACF55930.1	AAK99245.1	ACA37613.1	ACO21550.1	ADI69022.1
655	ACB90339.1	ACF56022.1	AAK99897.1	ACA36843.1	ACO20215.1	ADI69516.1
656	ACB90226.1	ACF56841.1	AAK99708.1	ACA37357.1	ACO20968.1	ADI69712.1
657	ACB90356.1	ACF54840.1	AAK99880.1	ACA35569.1	ACO21586.1	ADI69534.1
658	ACB90127.1	ACF54833.1	AAK99603.1	ACA36883.1	ACO20182.1	ADI69816.1
659	ACB91404.1	ACF55139.1	AAL00790.1	ACA35980.1	ACO22022.1	ADI68418.1
660	ACB89765.1	ACF56126.1	AAK99279.1	ACA36561.1	ACO21307.1	ADI69070.1
661	ACB90980.1	ACF56297.1	AAL00402.1	ACA36693.1	ACO20713.1	ADI70226.1
662	ACB90321.1	ACF55689.1	AAK99916.1	ACA37227.1	ACO20717.1	ADI69495.1
663	ACB89404.1	ACF56116.1	AAK98950.1	ACA36446.1	ACO20927.1	ADI68687.1
664	ACB91181.1	ACF55695.1	AAL00581.1	ACA36747.1	ACO21232.1	ADI70459.1
665	ACB91237.1	ACF55701.1	AAL00634.1	ACA36236.1	ACO21688.1	ADI68242.1
666	ACB89313.1	ACF55729.1	AAK98863.1	ACA36358.1	ACO20238.1	ADI68576.1
667	ACB90939.1	ACF56335.1	AAL00363.1	ACA37421.1	ACO21865.1	ADI70185.1
668	ACB90485.1	ACF55152.1	AAK99950.1	ACA35774.1	ACO20840.1	ADI69460.1
669	ACB90771.1	ACF54856.1	AAL00192.1	ACA36063.1	ACO20451.1	ADI69995.1
670	ACB90051.1	ACF55467.1	AAK99561.1	ACA36001.1	ACO20988.1	ADI69864.1
671	ACB90278.1	ACF55830.1	AAK99752.1	ACA35501.1,ACA36403.1	-	ADI69656.1
672	ACB90222.1	ACF56273.1	AAK99703.1	ACA37262.1	ACO20772.1	ADI69716.1
673	ACB90896.1	ACF56269.1	AAL00320.1	ACA37642.1	ACO21373.1	ADI70142.1
674	ACB90604.1	ACF54906.1	AAL00025.1	ACA36780.1	ACO21782.1	ADI69414.1
675	ACB91239.1	ACF56690.1	AAL00636.1	ACA37143.1	ACO20496.1	ADI68244.1
676	ACB91123.1	ACF56659.1	AAL00515.1	ACA37592.1	ACO21775.1	ADI70355.1
677	ACB90851.1	ACF56081.1	AAL00269.1	ACA36200.1	ACO20864.1	ADI70090.1
678	ACB90711.1	ACF54931.1	AAL00128.1	ACA35714.1	ACO20165.1	ADI69301.1
679	ACB90381.1	ACF55994.1	AAK99858.1	ACA36687.1	ACO20776.1	ADI69555.1
680	ACB89457.1	ACF55210.1	AAK98979.1	ACA37001.1	ACO21509.1	ADI68735.1
681	ACB91435.1	ACF55767.1	AAL00824.1	ACA36249.1	ACO21710.1	ADI68459.1
682	ACB90383.1	ACF54946.1	AAK99856.1	ACA37615.1	ACO21211.1	ADI69558.1
683	ACB90974.1	ACF55800.1	AAL00396.1	ACA35781.1	ACO22120.1	ADI70219.1
684	ACB89285.1	ACF55838.1	AAK98837.1	ACA35772.1	ACO20997.1	ADI68548.1
685	ACB90447.1	ACF56138.1	AAK99795.1	ACA36178.1	ACO21507.1	ADI69627.1
686	ACB90061.1	ACF56287.1	AAK99572.1	ACA35644.1	ACO20980.1	ADI69856.1
687	ACB90862.1	ACF55075.1	AAL00281.1	ACA35703.1	ACO21833.1	ADI70104.1
688	ACB90944.1	ACF55117.1	AAL00368.1	ACA37121.1	ACO21554.1	ADI70191.1
689	ACB90409.1	ACF54835.1	AAK99835.1	ACA36704.1	ACO21445.1	ADI69585.1
690	ACB90378.1	ACF56424.1	AAK99861.1	ACA35740.1	ACO20183.1	ADI69552.1
691	ACB91399.1	ACF56206.1	AAL00786.1	ACA37239.1	ACO20196.1	ADI68412.1
692	ACB90698.1	ACF56369.1	AAL00117.1	ACA36961.1	ACO20690.1	ADI69313.1
693	ACB90153.1	ACF55498.1	AAK99630.1	ACA37221.1	ACO20752.1	ADI69788.1
694	ACB89519.1	ACF56153.1	AAK99041.1	ACA35948.1	ACO21396.1	ADI68801.1
695	ACB89305.1	ACF56705.1	AAK98856.1	ACA36802.1	ACO21061.1	ADI68568.1
696	ACB90808.1	ACF54938.1	AAL00233.1	ACA35527.1	ACO22094.1	ADI70035.1
697	ACB91392.1	ACF56415.1	AAL00780.1	ACA36761.1	ACO21807.1	ADI68404.1
698	ACB89870.1	ACF55121.1	AAK99383.1	ACA37266.1	ACO21698.1	ADI69182.1
699	ACB89700.1	ACF55412.1	AAK99213.1	ACA37523.1	ACO21655.1	ADI68974.1
700	ACB90774.1	ACF56780.1	AAL00195.1	ACA37183.1	ACO21254.1	ADI69998.1
701	ACB89668.1	ACF55027.1	AAK99182.1	ACA36821.1	ACO21095.1	ADI68937.1
702	ACB89327.1	ACF55184.1	AAK98875.1	ACA37636.1	ACO21989.1	ADI68591.1
703	ACB90292.1	ACF54979.1	AAK99944.1	ACA37265.1	ACO21912.1	ADI69466.1
704	ACB90650.1	ACF56001.1	AAL00071.1	ACA36023.1	ACO22196.1	ADI69365.1
705	ACB91051.1	ACF55364.1	AAL00438.1	ACA36850.1	ACO20685.1	ADI70270.1
706	ACB90713.1	ACF55313.1	AAL00130.1	ACA36680.1	ACO21641.1	ADI69299.1
707	ACB90304.1	ACF55487.1	AAK99933.1	ACA37242.1	ACO20412.1	ADI69478.1
708	ACB89814.1	ACF56156.1	AAK99330.1	ACA36089.1	ACO22137.1	ADI69119.1
709	ACB91309.1	ACF56426.1	AAL00704.1	ACA37417.1	ACO20820.1	ADI68316.1
710	ACB90907.1	ACF55213.1	AAL00330.1	ACA36279.1	ACO21079.1	ADI70153.1
711	ACB90181.1	ACF54920.1	AAK99659.1	ACA37498.1	ACO21415.1	ADI69764.1
712	ACB90957.1	ACF55178.1	AAL00380.1	ACA37377.1	ACO21588.1	ADI70204.1
713	ACB90067.1	ACF55885.1	AAK99578.1	ACA36683.1	ACO20327.1	ADI69850.1
714	ACB90149.1	ACF55950.1	AAK99625.1	ACA36625.1	ACO21088.1	ADI69793.1
715	ACB90930.1	ACF54974.1	AAL00352.1	ACA37383.1	ACO21955.1	ADI70176.1
716	ACB89997.1	ACF54919.1	AAK99509.1	ACA37144.1	ACO20278.1	ADI69924.1
717	ACB90940.1	ACF56288.1	AAL00364.1	ACA36937.1	ACO21341.1	ADI70186.1
718	ACB90784.1	ACF56691.1	AAL00206.1	ACA37193.1	ACO20925.1	ADI70009.1
719	ACB91073.1	ACF55706.1	AAL00465.1	ACA36836.1	ACO21532.1	ADI70298.1
720	ACB89435.1	ACF54949.1	AAK98959.1	ACA36619.1	ACO20875.1	ADI68696.1
721	ACB90134.1	ACF54806.1	AAK99609.1	ACA37506.1	ACO21410.1	ADI69811.1
722	ACB90719.1	ACF55764.1	AAL00137.1	ACA36905.1	ACO20258.1	ADI69293.1
723	ACB89414.1,ACB90574.1	ACF55955.1	-	ACA37101.1	ACO21742.1	ADI70423.1
724	ACB89297.1	ACF56713.1	AAK98848.1	ACA36437.1	ACO21486.1	ADI68560.1
725	ACB91294.1	ACF55044.1	AAL00689.1	ACA35581.1	ACO21359.1	ADI68301.1
726	ACB90204.1	ACF55414.1	AAK99684.1	ACA36221.1	ACO20263.1	ADI69740.1
727	ACB91191.1	ACF56164.1	AAL00592.1	ACA35959.1	ACO21453.1	ADI70471.1
